Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,T,P,WS
2014-02-24,0,0,1,0,0,2,6,1,2,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,31.0,0.0,14.0
2014-02-25,0,0,0,0,1,1,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,3,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,1,2,1,0,0,0,0,0,6,0,0,31.0,0.0,14.0
2014-02-26,1,0,0,0,1,0,4,1,1,1,1,3,1,2,0,0,0,2,0,0,0,1,2,0,1,0,0,2,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,5,0,0,31.0,0.0,14.0
2014-02-27,1,0,0,0,1,0,6,1,0,0,1,1,0,1,0,0,0,2,1,0,0,1,1,0,1,0,0,0,1,3,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,31.0,0.0,14.0
2014-02-28,3,2,0,0,0,2,2,0,1,1,0,1,0,2,0,1,0,0,0,1,1,0,1,0,0,2,2,0,1,2,2,0,0,1,0,1,0,1,0,0,2,0,0,0,1,1,1,6,0,0,31.0,0.0,14.0
2014-03-01,4,1,1,1,1,0,8,0,1,0,4,0,0,1,2,2,1,1,1,1,0,1,1,2,0,0,0,1,1,1,1,1,2,3,1,2,0,0,2,1,2,5,0,0,0,0,1,6,0,1,31.0,0.0,14.0
2014-03-02,4,0,0,0,0,1,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,2,2,1,1,0,2,1,1,0,2,1,0,1,1,0,1,0,1,0,6,0,0,31.0,0.0,14.0
2014-03-03,1,0,0,1,0,0,8,0,0,1,1,2,1,1,0,0,1,1,2,1,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,31.0,0.0,14.0
2014-03-04,0,2,0,2,0,2,4,0,1,1,1,1,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,31.0,0.0,14.0
2014-03-05,0,2,0,0,0,1,3,0,0,1,1,2,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,1,1,1,0,6,1,0,31.0,0.0,14.0
2014-03-06,2,2,0,0,0,1,4,0,0,1,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,5,0,2,31.0,0.0,14.0
2014-03-07,2,0,0,2,0,0,3,0,2,0,1,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,5,0,1,31.0,0.0,14.0
2014-03-08,2,0,2,0,2,1,2,2,1,0,3,0,1,0,0,1,0,2,1,2,0,0,1,4,0,0,0,2,3,1,2,1,1,2,1,1,1,4,2,1,1,4,0,0,0,3,1,9,0,0,31.0,0.0,14.0
2014-03-09,6,0,2,0,2,1,5,2,1,0,5,0,0,5,0,5,2,0,3,2,1,0,0,0,0,1,1,3,0,6,2,0,3,2,0,1,0,0,3,0,0,0,0,0,0,1,0,6,0,3,31.0,0.0,14.0
2014-03-10,3,1,0,1,0,2,3,0,0,2,0,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,0,8,0,1,31.0,0.0,14.0
2014-03-11,1,0,1,0,1,1,3,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,3,0,1,31.0,0.0,14.0
2014-03-12,0,2,0,0,0,1,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,31.0,0.0,14.0
2014-03-13,2,1,0,0,0,0,5,1,0,1,2,0,0,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,7,0,0,31.0,0.0,14.0
2014-03-14,2,0,1,0,0,1,10,0,2,1,0,1,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,2,0,23,0,1,0,0,0,2,2,4,0,0,31.0,0.0,14.0
2014-03-15,2,1,2,0,1,0,3,1,4,1,1,0,0,2,2,0,0,0,2,0,1,0,2,0,1,2,1,2,1,3,0,2,1,3,0,1,0,2,1,8,3,0,0,4,0,1,2,3,0,0,31.0,0.0,14.0
2014-03-16,1,0,3,0,0,1,6,1,2,0,0,0,0,3,1,0,0,1,1,3,2,0,0,1,0,4,0,3,1,1,2,0,2,3,2,2,0,2,0,0,2,0,0,5,0,3,0,5,0,0,31.0,0.0,14.0
2014-03-17,2,0,0,0,0,0,5,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,8,0,0,31.0,0.0,14.0
2014-03-18,1,0,0,0,0,1,2,0,1,1,0,1,0,2,0,0,1,1,2,0,0,0,1,0,0,4,0,0,0,2,1,0,0,2,0,0,0,1,1,0,0,1,0,1,2,0,0,6,0,0,31.0,0.0,14.0
2014-03-19,5,1,0,2,1,1,5,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,4,2,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,1,5,0,1,31.0,0.0,14.0
2014-03-20,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,0,31.0,0.0,14.0
